"degree","normalised.degree","nestedrank","betweenness","weighted.betweenness","closeness","weighted.closeness","evcent","Taxon","Endemicity","site","max.degree","missing.degree"
1,0.00900900900900901,0.885245901639344,0,0,0.0168951418951419,0.00441269283711745,0.0106200316069409,"Nesothoe haa","Endem","Koh",111,110
18,0.162162162162162,0.0491803278688525,0.292260392977482,0.223885811249189,0.0295815295815296,0.0113345822481827,0.877398765018395,"Nysius communis","Cosmo","Koh",111,93
14,0.126126126126126,0.0819672131147541,0.00269418724279835,0.00778559664620452,0.0200817700817701,0.00971723466520538,0.231091078276628,"Nysius nemorivagus","Cosmo","Koh",111,97
20,0.18018018018018,0.0327868852459016,0.0206423684005206,0.0252033737585467,0.0240500240500241,0.0106923821955332,0.916290845416249,"Nysius delectus","Cosmo","Koh",111,91
5,0.045045045045045,0.426229508196721,0,0,0.0168350168350168,0.0082843517541346,0.0796000958508096,"Nysius longicollis","Cosmo","Koh",111,106
1,0.00900900900900901,0.901639344262295,0,0,0.0135281385281385,0.00382286530706732,0.00417480500108248,"Nysius dallasi","Endem","Koh",111,110
7,0.0630630630630631,0.278688524590164,0.0181657225512902,0.00479113639766432,0.0200817700817701,0.00798760917260259,0.138394761811473,"Nysius terrestris","Cosmo","Koh",111,104
25,0.225225225225225,0.0163934426229508,0.124281270650534,0.15421470279982,0.0245310245310245,0.0103789638470633,0.429835462348026,"Nysius kinbergi","Cosmo","Koh",111,86
10,0.0900900900900901,0.131147540983607,0.0299374153087921,0.0401257673304387,0.0208032708032708,0.00891535676051971,0.19564443917913,"Nysius coenosulus","Cosmo","Koh",111,101
8,0.0720720720720721,0.229508196721311,0.0318210339043672,0.0279982033238509,0.0221260221260221,0.0101231286730503,0.670969845590612,"Oceanides nimbatus","Cosmo","Koh",111,103
2,0.018018018018018,0.60655737704918,0,0,0.0155122655122655,0.00595111494893522,0.0158602111498218,"Oceanides vulcan","Endem","Koh",111,109
9,0.0810810810810811,0.180327868852459,0.0116906783724417,0.00239556819883216,0.0233285233285233,0.0102658062430113,0.752029367816336,"Oliarus opuna","Endem","Koh",111,102
2,0.018018018018018,0.622950819672131,0,0,0.0198412698412698,0.00660474092612732,0.0375456303826974,"Oliarus filicicola","Cosmo","Koh",111,109
2,0.018018018018018,0.639344262295082,0,0,0.0155122655122655,0.00595111494893522,0.0158602111498218,"Opuna sharpianus","Cosmo","Koh",111,109
2,0.018018018018018,0.655737704918033,0,0,0.0155122655122655,0.00595111494893522,0.0158602111498217,"Opuna sharpianus luteus","Cosmo","Koh",111,109
1,0.00900900900900901,0.918032786885246,0,0,0.0168951418951419,0.00441269283711745,0.0106200316069409,"Orthotylus antidesmae","Endem","Koh",111,110
3,0.027027027027027,0.524590163934426,0.00924343146565369,0.00014972301242701,0.0176767676767677,0.00635718715325382,0.071750359454129,"Sarona hamakua","Endem","Koh",111,108
4,0.036036036036036,0.491803278688525,0,0,0.0191197691197691,0.00825908057573874,0.0594353148500856,"Koanoa hawaiiensis","Cosmo","Koh",111,107
9,0.0810810810810811,0.19672131147541,0.121491034685479,0.184458751310076,0.0258537758537759,0.0109592035736784,0.701570791956834,"Lasiochilus denigratus","Cosmo","Koh",111,102
1,0.00900900900900901,0.934426229508197,0,0,0.0191197691197691,0.00451063881605118,0.0224867160833887,"Lasiochilus montivagus","Endem","Koh",111,110
2,0.018018018018018,0.672131147540984,0,0,0.0198412698412698,0.00660474092612732,0.0375456303826974,"Nabis pele","Endem","Koh",111,109
8,0.0720720720720721,0.245901639344262,0.0365187192481878,0.00089833807456206,0.0214045214045214,0.00899282698131333,0.165026550920664,"Nabis blackburni","Cosmo","Koh",111,103
1,0.00900900900900901,0.950819672131147,0,0,0.000721500721500722,NA,3.85629411638834e-17,"Nabis oscillans","Endem","Koh",111,110
2,0.018018018018018,0.688524590163934,0,0,0.0198412698412698,0.00660474092612732,0.0375456303826974,"Nabis curtipennis","Endem","Koh",111,109
6,0.0540540540540541,0.327868852459016,0,0,0.0214045214045214,0.0100698850779557,0.653405129967196,"Oechalia patruelis","Cosmo","Koh",111,105
1,0.00900900900900901,0.967213114754098,0,0,0.0191197691197691,0.00451063881605118,0.0224867160833887,"Saldula oahuensis","Cosmo","Koh",111,110
6,0.0540540540540541,0.344262295081967,0.000694444444444444,0,0.0164141414141414,0.00425737703910521,0.0202732765363696,"Chlorococcus straussiae","Cosmo","Koh",111,105
2,0.018018018018018,0.704918032786885,0,0,0.0198412698412698,0.00660474092612732,0.0375456303826974,"Nesopedronia cibotii","Endem","Koh",111,109
1,0.00900900900900901,0.983606557377049,0,0,0.000721500721500722,NA,4.07795257059667e-17,"Pseudococcus antricolens","Cosmo","Koh",111,110
1,0.00900900900900901,1,0,0,0,NA,5.09715187007388e-17,"Pseudococcus lycopodii","Endem","Koh",111,110
5,0.045045045045045,0.442622950819672,0,0,0.00216450216450216,NA,1.57367052299533e-16,"Hevaheva giffardi","Endem","Koh",111,106
5,0.045045045045045,0.459016393442623,0,0,0.00216450216450216,NA,1.88523585842865e-16,"Hevaheva hyalina","Endem","Koh",111,106
5,0.045045045045045,0.475409836065574,0,0,0.00216450216450216,NA,1.58358231280286e-16,"Hevaheva perkinsi","Cosmo","Koh",111,106
1,0.00632911392405063,0.537037037037037,0,0,0.0101469189303456,0.00228541171197516,0.0263368809405837,"Balclutha lobata","Cosmo","Hal",158,157
16,0.10126582278481,0.0648148148148148,0.0481132970928889,0.037024927301399,0.0124370221611528,0.00501692759904966,0.719487658083526,"Balclutha plutonis","Cosmo","Hal",158,142
1,0.00632911392405063,0.546296296296296,0,0,0.0101469189303456,0.00228541171197516,0.0263368809405837,"Balclutha usitata","Cosmo","Hal",158,157
8,0.0506329113924051,0.25,0,0,0.00813867455871472,0.00309966488532931,0.0178214584536347,"Balclutha volcanicola","Cosmo","Hal",158,150
2,0.0126582278481013,0.453703703703704,0.000185946614518043,0,0.00993552478596343,0.0031992147198594,0.0309540150057459,"Balolina kilaueae","Cosmo","Hal",158,156
