"degree","normalised.degree","nestedrank","betweenness","weighted.betweenness","closeness","weighted.closeness","evcent","Taxon","Endemicity","site","max.degree","missing.degree"
1,0.0178571428571429,0.357723577235772,0,0,0.00977571916138469,0.00451589188864801,0.165816896673287,"Leialoha lehuae","Cosmo","Kil",56,55
1,0.0178571428571429,0.365853658536585,0,0,0.00977571916138469,0.00451589188864801,0.165816896673287,"Leialoha naniicola","Cosmo","Kil",56,55
1,0.0178571428571429,0.373983739837398,0,0,0.00977571916138469,0.00451589188864801,0.165816896673287,"Leialoha ohiae","Cosmo","Kil",56,55
3,0.0535714285714286,0.113821138211382,0.0298895043998071,0.0284454936157799,0.0107508532423208,0.00573930767932715,0.236816710717049,"Metrarga nuda","Cosmo","Kil",56,53
3,0.0535714285714286,0.121951219512195,0.00452314675969348,0.00108903613492788,0.00875182837640176,0.00440671489652638,0.0730071637685527,"Metrarga obscura","Cosmo","Kil",56,53
1,0.0178571428571429,0.382113821138211,0,0,0.00639931740614335,0.00307855952052203,0.0046319679800154,"Neseis whitei brachypterus","Endem","Kil",56,55
3,0.0535714285714286,0.130081300813008,0.0134196598178357,0.00277549568019736,0.00975134080936129,0.00532844744796576,0.125453318426621,"Neseis mauiensis","Cosmo","Kil",56,53
2,0.0357142857142857,0.227642276422764,0.000532612256234107,0,0.00875182837640176,0.00511240931205824,0.135426787386287,"Neseis ochriasis ochriasis","Endem","Kil",56,54
1,0.0178571428571429,0.390243902439024,0,0,0.00821550463188688,0.00393063538525124,0.0300040109141047,"Neseis hiloensis intermedius","Endem","Kil",56,55
1,0.0178571428571429,0.398373983739837,0,0,0.00821550463188688,0.00393063538525124,0.0300040109141047,"Neseis nitida comitans","Endem","Kil",56,55
1,0.0178571428571429,0.40650406504065,0,0,0.00821550463188688,0.00393063538525124,0.0300040109141047,"Neseis nitida pipturi","Endem","Kil",56,55
3,0.0535714285714286,0.138211382113821,0.0213115785226882,0.00915376381752833,0.0104095563139932,0.00540933964722479,0.172128618826448,"Neseis fasciata fasciata","Endem","Kil",56,53
2,0.0357142857142857,0.235772357723577,0.0119136003000994,0.00300111661936179,0.00992198927352511,0.00518634217280169,0.119130006752679,"Neseis fasciata hyalina","Endem","Kil",56,54
6,0.107142857142857,0.040650406504065,0.0176145307640786,0.00556075581733801,0.00970258410531448,0.00450153702813311,0.11734087403148,"Neseis saundersianus","Cosmo","Kil",56,50
1,0.0178571428571429,0.414634146341463,0,0,0.00802047781569966,0.004038119309656,0.0345952600180592,"Nesiomiris timberlakei","Endem","Kil",56,55
1,0.0178571428571429,0.422764227642276,0,0,0.00802047781569966,0.004038119309656,0.0345952600180591,"Nesiomiris williamsi","Endem","Kil",56,55
1,0.0178571428571429,0.430894308943089,0,0,0.00802047781569966,0.004038119309656,0.0345952600180591,"Nesiomiris pilosus","Endem","Kil",56,55
1,0.0178571428571429,0.439024390243902,0,0,0,NA,0,"Nesiomiris hawaiiensis","Endem","Kil",56,55
1,0.0178571428571429,0.447154471544715,0,0,0,NA,0,"Nesodryas swezeyi","Endem","Kil",56,55
1,0.0178571428571429,0.455284552845528,0,0,0.00811799122379327,0.00392728136230997,0.0317213178473094,"Nesophrosyne cinerea","Endem","Kil",56,55
1,0.0178571428571429,0.463414634146341,0,0,0.00914188200877621,0.00434842593482128,0.08740868890537,"Nesophrosyne comma","Endem","Kil",56,55
3,0.0535714285714286,0.146341463414634,0.024004205625735,0.00854136412551059,0.00945880058508045,0.00441552268933204,0.0652129233724055,"Nesophrosyne cuprescens","Endem","Kil",56,53
1,0.0178571428571429,0.471544715447154,0,0,0.00772793759141882,0.00395399182403817,0.0220277883179132,"Nesophrosyne furculata","Endem","Kil",56,55
1,0.0178571428571429,0.479674796747967,0,0,0.00772793759141882,0.00395399182403817,0.0220277883179132,"Nesophrosyne giffardi","Endem","Kil",56,55
1,0.0178571428571429,0.48780487804878,0,0,0,NA,0,"Nesophrosyne heopoko","Endem","Kil",56,55
1,0.0178571428571429,0.495934959349593,0,0,0.00811799122379327,0.00392728136230997,0.0317213178473094,"Nesophrosyne imbricola","Endem","Kil",56,55
1,0.0178571428571429,0.504065040650406,0,0,0.00811799122379327,0.00392728136230997,0.0317213178473095,"Nesophrosyne mabae","Endem","Kil",56,55
1,0.0178571428571429,0.51219512195122,0,0,0.00821550463188688,0.00393063538525124,0.0300040109141047,"Nesophrosyne maritima","Endem","Kil",56,55
1,0.0178571428571429,0.520325203252033,0,0,0.00821550463188688,0.00393063538525124,0.0300040109141047,"Nesophrosyne milu","Endem","Kil",56,55
3,0.0535714285714286,0.154471544715447,0.00584528103772306,0.000402894534222198,0.0098732325694783,0.00556747558449245,0.183524952299434,"Nesophrosyne monticola","Endem","Kil",56,53
