"siteCode","name","island","age_mya","metric","null.mod","nsim","statistic.mean","statistic.ciLo","statistic.ciHi","z.value.mean","z.value.ciLo","z.value.ciHi","rfy"
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6582188, 0.5829945, 0.7351118,-5.92920563,-8.68977214,-2.97466686, 75
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6476249, 0.5631133, 0.7198396,-6.04036630,-9.35408753,-3.54203542, 75
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6921093, 0.6256024, 0.7810981,-2.45679146,-5.26429131, 0.10383156, 75
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7314277, 0.6456205, 0.8462751,-1.94692674,-6.33284900, 3.29142204, 75
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6427371, 0.5620769, 0.7311148,-3.96144581,-7.02334944,-1.26103046, 75
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6363972, 0.5475580, 0.7130267,-4.61519545,-7.87420495,-2.01098738, 75
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6789881, 0.5870479, 0.7730920,-0.98744017,-4.10115330, 1.41235976, 75
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.7160585, 0.5964429, 0.8407254,-1.25905873,-6.23757611, 3.62457226, 75
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,18.9200000,12.2250000,24.0000000,-2.05391009,-3.83944270,-0.46548553, 75
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,15.4200000,11.2250000,18.7750000,-2.30602472,-3.63619171,-1.10887381, 75
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,19.0400000,14.0000000,23.7750000,-1.61888966,-3.42893984, 0.04065840, 75
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,22.8000000,18.0000000,29.5500000,-1.22043747,-2.94469593, 0.91048604, 75
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,21.7200000,17.2250000,27.0000000,-2.74030044,-3.83667180,-1.51284033, 75
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,16.2400000,10.4500000,21.0000000,-2.98340451,-4.50401667,-1.76691161, 75
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,20.1600000,15.0000000,24.7750000,-3.20185217,-4.07669532,-2.21492911, 75
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,24.0400000,17.2250000,32.5500000,-2.64659592,-4.33788968,-0.76544577, 75
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000,10.4784162, 6.9201308,13.1015548,11.98519870, 8.04855178,15.73007453, 75
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000,10.3512366, 7.2469329,13.3717841, 9.54676317, 5.97209253,13.53121090, 75
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 9.3111179, 6.0486297,13.6201197,10.28048089, 5.64953624,16.48030441, 75
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 6.6873905, 4.0431959, 8.6886777, 4.64810432, 1.36534445, 7.52395794, 75
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6505126, 0.5935270, 0.7131300,-5.82056955,-8.13769801,-3.39636069, 90
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6505325, 0.5960142, 0.7283414,-5.95391231,-8.18615029,-3.00285522, 90
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6863104, 0.6339149, 0.7534335,-1.58057834,-4.61059500, 0.70263787, 90
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7184954, 0.6128498, 0.8343689,-1.92782901,-7.48143802, 3.69516727, 90
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6336832, 0.5821737, 0.6993922,-3.25819428,-5.57658536,-1.15967594, 90
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6327393, 0.5805881, 0.7082556,-4.26883126,-6.65078905,-2.08120643, 90
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6715082, 0.6110133, 0.7419321, 0.28810375,-2.17723222, 2.63425657, 90
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.6962819, 0.5857678, 0.8250555,-1.11242308,-6.05560157, 4.03025203, 90
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,20.4800000,15.0000000,27.0000000,-1.76896589,-3.45853244, 0.28230521, 90
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,16.9200000,13.0000000,22.0000000,-2.22683319,-3.53526614,-0.36253192, 90
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,20.5400000,15.0000000,25.0000000,-1.37646500,-2.93314385,-0.06835536, 90
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,22.9800000,18.0000000,29.7750000,-1.62027717,-3.05953844, 0.23460137, 90
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,24.3600000,18.2250000,31.7750000,-2.78010828,-3.78854045,-1.54555500, 90
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,17.9800000,13.0000000,23.7750000,-3.07101811,-4.15577475,-1.71168994, 90
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,22.5400000,17.0000000,28.0000000,-3.55232259,-4.96528309,-2.32584225, 90
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,26.8400000,19.2250000,35.7750000,-2.84227740,-4.23921528,-1.10699598, 90
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000,10.2004099, 6.9773664,13.1500805,13.43596035,10.70985013,16.67847970, 90
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000, 9.9360545, 6.4852754,12.1933155,10.93746765, 5.15364950,14.59677032, 90
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 9.3542092, 6.6253903,12.0727726,12.05451880, 8.53557805,15.57815598, 90
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 6.7525910, 3.5995649, 9.2023413, 6.09618939, 0.81914655,10.36252740, 90
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6446228, 0.5955154, 0.7013261,-5.74566800,-8.09122725,-3.65275145,105
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6437029, 0.6075581, 0.6944415,-5.98327959,-7.61100839,-4.31050776,105
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6798749, 0.6398889, 0.7229033,-0.72464623,-3.58060849, 1.97658520,105
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7295733, 0.6572272, 0.8277585,-0.43222966,-4.19332212, 3.69441496,105
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6281487, 0.5824285, 0.6916446,-2.63680528,-4.79071509,-0.92224569,105
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6146685, 0.5540805, 0.6813572,-4.12574253,-6.03095316,-2.22100220,105
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6631847, 0.6224445, 0.7248334, 1.50072762,-1.08239754, 4.09440089,105
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.7080788, 0.6025927, 0.8246623, 0.62549422,-4.22593222, 4.50051276,105
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,22.8000000,17.2250000,27.0000000,-1.15598769,-2.94820656, 0.25890694,105
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,18.6600000,14.0000000,22.7750000,-1.90154739,-3.48810065,-0.41006972,105
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,22.4200000,18.2250000,26.7750000,-0.89041635,-2.30786712, 0.43119248,105
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,25.1600000,19.0000000,32.5500000,-1.26162336,-3.15477766, 0.62378937,105
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,26.7200000,21.0000000,32.0000000,-2.97351770,-3.98703868,-1.80294531,105
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,21.0000000,15.2250000,26.0000000,-2.90545782,-4.03363857,-2.01001917,105
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,24.4400000,19.2250000,30.5500000,-3.99277044,-4.83444462,-3.03142357,105
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,29.2800000,21.2250000,37.0000000,-3.08492159,-4.33617465,-1.82055902,105
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000, 9.6711769, 7.7102385,11.7002024,14.52343132,11.74155708,17.81207376,105
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000, 9.7514935, 7.2884411,11.5406852,12.49891763, 9.70948632,15.34100081,105
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 8.9783304, 7.6039024,10.5726995,13.22812048,10.94491375,16.32515114,105
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 6.3473626, 4.2466287, 8.3225220, 6.92786498, 3.00919542,11.00499645,105
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6457049, 0.6029205, 0.7301564,-4.97714854,-7.09406330,-2.43549897,120
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6310972, 0.6105036, 0.6757080,-6.02598457,-6.89854666,-4.50398036,120
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6822659, 0.6519494, 0.7488802, 0.97079307,-1.50917274, 2.94789137,120
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7120092, 0.6661812, 0.7924125,-0.26204729,-2.60471729, 2.70448158,120
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6300467, 0.5931170, 0.7088928,-1.45310143,-3.29999248, 0.07655782,120
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.5958536, 0.5662938, 0.6582686,-3.95010328,-5.06545216,-1.98924671,120
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6616817, 0.6191168, 0.7397041, 3.16075649, 0.75893111, 4.98144780,120
