"siteCode","name","island","age_mya","metric","null.mod","nsim","statistic.mean","statistic.ciLo","statistic.ciHi","z.value.mean","z.value.ciLo","z.value.ciHi","rfy"
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,21.1200000,14.2250000,28.0000000,-2.32287641,-4.46051962,-0.50319156, 60
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000,11.2431822, 7.2149138,13.6894177,10.47786144, 7.27065133,15.12281717, 60
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000,11.1121286, 7.4162300,14.1239774, 7.84528741, 4.21465278,11.29334657, 60
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 9.5816146, 5.6046241,14.8472857, 8.34496043, 2.97659703,13.02480747, 60
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 7.4290196, 2.7963631,11.2358074, 4.39032233,-0.51694622, 8.66464885, 60
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6582188, 0.5829945, 0.7351118,-5.93906616,-8.79854085,-2.98642203, 75
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6476249, 0.5631133, 0.7198396,-6.00196761,-9.19373312,-3.40087096, 75
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6921093, 0.6256024, 0.7810981,-2.45472262,-5.19213707, 0.12424669, 75
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7314277, 0.6456205, 0.8462751,-1.92381572,-6.47254675, 3.22657442, 75
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6427371, 0.5620769, 0.7311148,-3.97914848,-6.93857519,-1.25783564, 75
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6363972, 0.5475580, 0.7130267,-4.59713991,-7.62095586,-1.93880202, 75
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6789881, 0.5870479, 0.7730920,-0.98218413,-4.00073190, 1.42466374, 75
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.7160585, 0.5964429, 0.8407254,-1.24338391,-6.36928426, 3.66236258, 75
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,18.9200000,12.2250000,24.0000000,-2.05790812,-3.90697462,-0.49959405, 75
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,15.4200000,11.2250000,18.7750000,-2.29899027,-3.73967054,-1.11939332, 75
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,19.0400000,14.0000000,23.7750000,-1.61771655,-3.36179455,-0.01575074, 75
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,22.8000000,18.0000000,29.5500000,-1.21875581,-2.78196837, 0.88425976, 75
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,21.7200000,17.2250000,27.0000000,-2.73703987,-3.77666784,-1.47304820, 75
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,16.2400000,10.4500000,21.0000000,-2.98424506,-4.36419042,-1.76936883, 75
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,20.1600000,15.0000000,24.7750000,-3.22044070,-4.18355601,-2.24678677, 75
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,24.0400000,17.2250000,32.5500000,-2.63165942,-4.24750991,-0.74031921, 75
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000,10.4784162, 6.9201308,13.1015548,12.06413699, 8.37538360,15.80483245, 75
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000,10.3512366, 7.2469329,13.3717841, 9.48301250, 5.83368949,13.77764405, 75
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 9.3111179, 6.0486297,13.6201197,10.28722787, 5.59974972,16.75642964, 75
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 6.6873905, 4.0431959, 8.6886777, 4.59876533, 1.35964336, 7.14097453, 75
"Kil","Kilauea","Hawaii",0.0003,"mod.dendro","prob.null1",1000, 0.6505126, 0.5935270, 0.7131300,-5.81210434,-8.08454867,-3.39518230, 90
"Koh","Kohala","Hawaii",0.1500,"mod.dendro","prob.null1",1000, 0.6505325, 0.5960142, 0.7283414,-5.96708042,-8.31275857,-3.11320652, 90
"Hal","Haleakala","Maui",0.7500,"mod.dendro","prob.null1",1000, 0.6863104, 0.6339149, 0.7534335,-1.59075069,-4.53919308, 0.70835485, 90
"KoK","Kokee","Kauai",5.1000,"mod.dendro","prob.null1",1000, 0.7184954, 0.6128498, 0.8343689,-1.92316383,-7.18192797, 3.53207348, 90
"Kil","Kilauea","Hawaii",0.0003,"mod.rand.walk","prob.null1",1000, 0.6336832, 0.5821737, 0.6993922,-3.27124588,-5.29861472,-1.24606923, 90
"Koh","Kohala","Hawaii",0.1500,"mod.rand.walk","prob.null1",1000, 0.6327393, 0.5805881, 0.7082556,-4.26794267,-6.82925750,-2.05596859, 90
"Hal","Haleakala","Maui",0.7500,"mod.rand.walk","prob.null1",1000, 0.6715082, 0.6110133, 0.7419321, 0.28163098,-2.17928229, 2.54142461, 90
"KoK","Kokee","Kauai",5.1000,"mod.rand.walk","prob.null1",1000, 0.6962819, 0.5857678, 0.8250555,-1.10625754,-6.00428018, 3.87636358, 90
"Kil","Kilauea","Hawaii",0.0003,"nmod.dendro","prob.null1",1000,20.4800000,15.0000000,27.0000000,-1.75407839,-3.45009499, 0.33235948, 90
"Koh","Kohala","Hawaii",0.1500,"nmod.dendro","prob.null1",1000,16.9200000,13.0000000,22.0000000,-2.22988056,-3.51239197,-0.33904547, 90
"Hal","Haleakala","Maui",0.7500,"nmod.dendro","prob.null1",1000,20.5400000,15.0000000,25.0000000,-1.37620152,-2.92472936,-0.12497446, 90
"KoK","Kokee","Kauai",5.1000,"nmod.dendro","prob.null1",1000,22.9800000,18.0000000,29.7750000,-1.62971238,-3.12387057, 0.28148790, 90
"Kil","Kilauea","Hawaii",0.0003,"nmod.rand.walk","prob.null1",1000,24.3600000,18.2250000,31.7750000,-2.79682299,-3.84863108,-1.57716374, 90
"Koh","Kohala","Hawaii",0.1500,"nmod.rand.walk","prob.null1",1000,17.9800000,13.0000000,23.7750000,-3.08461366,-4.19517044,-1.74554589, 90
"Hal","Haleakala","Maui",0.7500,"nmod.rand.walk","prob.null1",1000,22.5400000,17.0000000,28.0000000,-3.58698549,-4.97866862,-2.24987665, 90
"KoK","Kokee","Kauai",5.1000,"nmod.rand.walk","prob.null1",1000,26.8400000,19.2250000,35.7750000,-2.85177635,-4.23356433,-1.15926194, 90
"Kil","Kilauea","Hawaii",0.0003,"nodf","prob.null1",1000,10.2004099, 6.9773664,13.1500805,13.41240523,10.63541484,16.86611032, 90
"Koh","Kohala","Hawaii",0.1500,"nodf","prob.null1",1000, 9.9360545, 6.4852754,12.1933155,10.95858842, 5.22283850,14.86390081, 90
"Hal","Haleakala","Maui",0.7500,"nodf","prob.null1",1000, 9.3542092, 6.6253903,12.0727726,12.06283136, 8.50142165,15.78379690, 90
"KoK","Kokee","Kauai",5.1000,"nodf","prob.null1",1000, 6.7525910, 3.5995649, 9.2023413, 6.07314832, 0.77122490, 9.47986017, 90
