Sites,plantName,GRIDCODE,Lat,Long
Haleakala,notlong,2,20.8000,-156.2340
Haleakala,notrubi,2,20.8000,-156.2340
Haleakala,notsand,2,20.8000,-156.2340
Haleakala,ochhale,2,20.8000,-156.2340
Haleakala,ophpend,2,20.8000,-156.2340
Haleakala,orefurc,2,20.8000,-156.2340
Haleakala,ostanth,2,20.8000,-156.2340
Haleakala,pantenu,2,20.8000,-156.2340
Haleakala,peltern,2,20.8000,-156.2340
Haleakala,pepblan,2,20.8000,-156.2340
Haleakala,pepcook,2,20.8000,-156.2340
Haleakala,pepeeka,2,20.8000,-156.2340
Haleakala,pepexpa,2,20.8000,-156.2340
Haleakala,pepglob,2,20.8000,-156.2340
Haleakala,pephirt,2,20.8000,-156.2340
Haleakala,pepkipa,2,20.8000,-156.2340
Haleakala,peplati,2,20.8000,-156.2340
Haleakala,pepligu,2,20.8000,-156.2340
Haleakala,pepmacr,2,20.8000,-156.2340
Haleakala,pepmemb,2,20.8000,-156.2340
Haleakala,pepobov,2,20.8000,-156.2340
Haleakala,pepremy,2,20.8000,-156.2340
Haleakala,pepsubp,2,20.8000,-156.2340
Haleakala,peptetr,2,20.8000,-156.2340
Haleakala,persand,2,20.8000,-156.2340
Haleakala,phyambi,2,20.8000,-156.2340
Haleakala,phybrac,2,20.8000,-156.2340
Haleakala,phybrev,2,20.8000,-156.2340
Haleakala,phyglab,2,20.8000,-156.2340
Haleakala,phyhali,2,20.8000,-156.2340
Haleakala,phymacr,2,20.8000,-156.2340
Haleakala,phymann,2,20.8000,-156.2340
Haleakala,phyparv,1,20.8000,-156.2340
Haleakala,phyrock,2,20.8000,-156.2340
Haleakala,physand,2,20.8000,-156.2340
Haleakala,phystac,1,20.8000,-156.2340
Haleakala,pilpepl,2,20.8000,-156.2340
Haleakala,pipalbi,2,20.8000,-156.2340
Haleakala,pipforb,2,20.8000,-156.2340
Haleakala,pisbrun,2,20.8000,-156.2340
Haleakala,pissand,2,20.8000,-156.2340
Haleakala,pitarge,2,20.8000,-156.2340
Haleakala,pitconf,2,20.8000,-156.2340
Haleakala,pitglab,2,20.8000,-156.2340
Haleakala,pitterm,2,20.8000,-156.2340
Haleakala,plaholo,2,20.8000,-156.2340
Haleakala,plapach,2,20.8000,-156.2340
Haleakala,plaprin,2,20.8000,-156.2340
Haleakala,plaspat,2,20.8000,-156.2340
Haleakala,pleauwa,2,20.8000,-156.2340
Haleakala,pleparv,2,20.8000,-156.2340
Haleakala,polbons,2,20.8000,-156.2340
Haleakala,polhill,2,20.8000,-156.2340
Haleakala,polpell,2,20.8000,-156.2340
Haleakala,pousand,2,20.8000,-156.2340
Haleakala,priarec,2,20.8000,-156.2340
Haleakala,psekera,2,20.8000,-156.2340
Haleakala,psesand,2,20.8000,-156.2340
Haleakala,psicomp,2,20.8000,-156.2340
Haleakala,psinudu,2,20.8000,-156.2340
Haleakala,psyhawa,2,20.8000,-156.2340
Haleakala,psykadu,2,20.8000,-156.2340
Haleakala,psymari,2,20.8000,-156.2340
Haleakala,psymaui,2,20.8000,-156.2340
Haleakala,pteaqui,2,20.8000,-156.2340
Haleakala,ptecret,2,20.8000,-156.2340
Haleakala,pteexce,2,20.8000,-156.2340
Haleakala,pteirre,2,20.8000,-156.2340
Haleakala,ranhawa,2,20.8000,-156.2340
Haleakala,ranmaui,2,20.8000,-156.2340
Haleakala,rhychin,2,20.8000,-156.2340
Haleakala,rhyrugo,2,20.8000,-156.2340
Haleakala,rhyscle,2,20.8000,-156.2340
Haleakala,rubhawa,2,20.8000,-156.2340
Haleakala,rubmacr,2,20.8000,-156.2340
Haleakala,rumgiga,2,20.8000,-156.2340
Haleakala,sadcyat,2,20.8000,-156.2340
Haleakala,sadpall,2,20.8000,-156.2340
Haleakala,sadsoul,2,20.8000,-156.2340
Haleakala,sadsqua,2,20.8000,-156.2340
Haleakala,sanfrey,2,20.8000,-156.2340
Haleakala,sanhale,2,20.8000,-156.2340
Haleakala,sanpurp,1,20.8000,-156.2340
Haleakala,sansand,2,20.8000,-156.2340
Haleakala,scacham,2,20.8000,-156.2340
Haleakala,scesubb,2,20.8000,-156.2340
Haleakala,schdiff,2,20.8000,-156.2340
Haleakala,schpube,2,20.8000,-156.2340
Haleakala,schrobu,2,20.8000,-156.2340
Haleakala,selarbu,2,20.8000,-156.2340
Haleakala,seldefl,2,20.8000,-156.2340
Haleakala,siccucu,2,20.8000,-156.2340
Haleakala,sidfall,2,20.8000,-156.2340
Haleakala,sisacre,2,20.8000,-156.2340
Haleakala,smimela,2,20.8000,-156.2340
Haleakala,solamer,2,20.8000,-156.2340
Haleakala,sopchry,2,20.8000,-156.2340
Haleakala,sphchin,2,20.8000,-156.2340
Haleakala,sphlanc,2,20.8000,-156.2340
Haleakala,stekame,2,20.8000,-156.2340
Haleakala,sterotu,2,20.8000,-156.2340
Haleakala,sterugo,2,20.8000,-156.2340
Haleakala,stesess,1,20.8000,-156.2340
Haleakala,stiowhy,2,20.8000,-156.2340
Haleakala,strpend,2,20.8000,-156.2340
Haleakala,syzsand,2,20.8000,-156.2340
Haleakala,tecgaud,2,20.8000,-156.2340
Haleakala,tetkava,2,20.8000,-156.2340
Haleakala,tetoahu,2,20.8000,-156.2340
Haleakala,theglob,2,20.8000,-156.2340
Haleakala,toulati,2,20.8000,-156.2340
Haleakala,tremacr,2,20.8000,-156.2340
Haleakala,triglom,2,20.8000,-156.2340
Haleakala,uncbrev,2,20.8000,-156.2340
Haleakala,uncunci,2,20.8000,-156.2340
Haleakala,ureglab,2,20.8000,-156.2340
Haleakala,vaccaly,2,20.8000,-156.2340
Haleakala,vacdent,2,20.8000,-156.2340
Haleakala,vacreti,2,20.8000,-156.2340
Haleakala,vancyrt,2,20.8000,-156.2340
Haleakala,vandava,2,20.8000,-156.2340
Haleakala,viocham,2,20.8000,-156.2340
Haleakala,viomavi,2,20.8000,-156.2340
Haleakala,walindi,2,20.8000,-156.2340
Haleakala,wikbico,1,20.8000,-156.2340
Haleakala,wikoahu,2,20.8000,-156.2340
Haleakala,wikvill,2,20.8000,-156.2340
Haleakala,xylhawa,2,20.8000,-156.2340
Haleakala,zanhawa,2,20.8000,-156.2340
Haleakala,zankaua,2,20.8000,-156.2340
Kiluea,acakoa,1,19.4140,-155.2380
Kiluea,acakoai,1,19.4140,-155.2380
Kiluea,adehyme,2,19.4140,-155.2380
Kiluea,adeperi,2,19.4140,-155.2380
Kiluea,adepinn,2,19.4140,-155.2380
Kiluea,adetama,2,19.4140,-155.2380
Kiluea,adetrip,2,19.4140,-155.2380
Kiluea,adicapi,1,19.4140,-155.2380
Kiluea,agrsand,2,19.4140,-155.2380
Kiluea,alppond,2,19.4140,-155.2380
Kiluea,alystel,2,19.4140,-155.2380
Kiluea,anosand,2,19.4140,-155.2380
Kiluea,antplat,2,19.4140,-155.2380
Kiluea,arainsu,1,19.4140,-155.2380
Kiluea,aspacum,2,19.4140,-155.2380
Kiluea,aspadia,2,19.4140,-155.2380
Kiluea,aspaeth,2,19.4140,-155.2380
Kiluea,aspcaud,1,19.4140,-155.2380
Kiluea,aspcont,2,19.4140,-155.2380
Kiluea,aspexci,1,19.4140,-155.2380
Kiluea,asphobd,1,19.4140,-155.2380
Kiluea,aspinsi,2,19.4140,-155.2380
Kiluea,aspkaul,1,19.4140,-155.2380
Kiluea,asplobu,2,19.4140,-155.2380
Kiluea,aspmacr,1,19.4140,-155.2380
Kiluea,aspmona,2,19.4140,-155.2380
Kiluea,aspnorm,1,19.4140,-155.2380
Kiluea,asppoly,2,19.4140,-155.2380
Kiluea,aspschi,1,19.4140,-155.2380
Kiluea,aspsphe,1,19.4140,-155.2380
Kiluea,asptric,1,19.4140,-155.2380
Kiluea,aspunil,2,19.4140,-155.2380
Kiluea,astmenz,2,19.4140,-155.2380
Kiluea,athmicr,2,19.4140,-155.2380
Kiluea,bidcamp,1,19.4140,-155.2380
Kiluea,bidhawa,2,19.4140,-155.2380
Kiluea,bidmicr,1,19.4140,-155.2380
Kiluea,bobelat,2,19.4140,-155.2380
Kiluea,boegran,1,19.4140,-155.2380
Kiluea,broargu,2,19.4140,-155.2380
Kiluea,calbald,2,19.4140,-155.2380
Kiluea,calexpa,1,19.4140,-155.2380
Kiluea,canhawa,2,19.4140,-155.2380
Kiluea,caralli,1,19.4140,-155.2380
Kiluea,carmacl,2,19.4140,-155.2380
Kiluea,carmeye,1,19.4140,-155.2380
Kiluea,carmont,1,19.4140,-155.2380
Kiluea,carwahu,2,19.4140,-155.2380
Kiluea,chacela,2,19.4140,-155.2380
Kiluea,chaobov,2,19.4140,-155.2380
Kiluea,chaovat,2,19.4140,-155.2380
Kiluea,cheoahu,1,19.4140,-155.2380
Kiluea,chetrig,2,19.4140,-155.2380
Kiluea,cibcham,2,19.4140,-155.2380
Kiluea,cibglau,2,19.4140,-155.2380
Kiluea,cibmenz,2,19.4140,-155.2380
Kiluea,clajama,1,19.4140,-155.2380
Kiluea,clasand,1,19.4140,-155.2380
Kiluea,clecalo,1,19.4140,-155.2380
Kiluea,clecler,1,19.4140,-155.2380
Kiluea,cledrep,1,19.4140,-155.2380
Kiluea,clehawa,2,19.4140,-155.2380
Kiluea,clekoha,1,19.4140,-155.2380
Kiluea,clemont,2,19.4140,-155.2380
Kiluea,cleparv,2,19.4140,-155.2380
Kiluea,clepele,1,19.4140,-155.2380
Kiluea,clewaim,1,19.4140,-155.2380
Kiluea,cocorbi,2,19.4140,-155.2380
Kiluea,conpilo,2,19.4140,-155.2380
Kiluea,copcymo,2,19.4140,-155.2380
Kiluea,coperno,2,19.4140,-155.2380
Kiluea,copmenz,2,19.4140,-155.2380
Kiluea,copochr,2,19.4140,-155.2380
Kiluea,coppube,2,19.4140,-155.2380
Kiluea,coprhyn,2,19.4140,-155.2380
Kiluea,credray,1,19.4140,-155.2380
Kiluea,ctelati,1,19.4140,-155.2380
Kiluea,cyaflor,2,19.4140,-155.2380
Kiluea,cyahama,1,19.4140,-155.2380
Kiluea,cyamark,1,19.4140,-155.2380
Kiluea,cyapilo,1,19.4140,-155.2380
Kiluea,cyastic,1,19.4140,-155.2380
Kiluea,cyatrit,1,19.4140,-155.2380
Kiluea,cyccyat,2,19.4140,-155.2380
Kiluea,cychuds,2,19.4140,-155.2380
Kiluea,cycsand,2,19.4140,-155.2380
Kiluea,cypfaur,1,19.4140,-155.2380
Kiluea,cyphill,2,19.4140,-155.2380
Kiluea,cyphypo,1,19.4140,-155.2380
Kiluea,cypphle,1,19.4140,-155.2380
Kiluea,cyppoly,2,19.4140,-155.2380
Kiluea,cyrcary,1,19.4140,-155.2380
Kiluea,cyrgiff,2,19.4140,-155.2380
Kiluea,cyrhawa,2,19.4140,-155.2380
Kiluea,cyrkoha,1,19.4140,-155.2380
Kiluea,cyrlysi,2,19.4140,-155.2380
Kiluea,cyrmenz,1,19.4140,-155.2380
Kiluea,cyrpalu,2,19.4140,-155.2380
Kiluea,cyrplat,2,19.4140,-155.2380
Kiluea,cyrtint,1,19.4140,-155.2380
Kiluea,cysdoug,1,19.4140,-155.2380
Kiluea,depfenz,1,19.4140,-155.2380
Kiluea,depmarg,1,19.4140,-155.2380
Kiluea,depprol,1,19.4140,-155.2380
Kiluea,desnubi,2,19.4140,-155.2380
Kiluea,diasand,2,19.4140,-155.2380
Kiluea,dichill,2,19.4140,-155.2380
Kiluea,dicline,2,19.4140,-155.2380
Kiluea,dieerec,1,19.4140,-155.2380
Kiluea,diparno,1,19.4140,-155.2380
Kiluea,dippinn,1,19.4140,-155.2380
Kiluea,dipsand,2,19.4140,-155.2380
Kiluea,disbifl,1,19.4140,-155.2380
Kiluea,disbifl,1,19.4140,-155.2380
Kiluea,dodvisc,2,19.4140,-155.2380
Kiluea,dookunt,1,19.4140,-155.2380
