Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)"
HETEROPTERA,Lygaeidae,,,Nysius beardsleyi,Nysius,beardsleyi,"Ashlock, 1966",end,prob not,prob not,prob not,prob not,prob not,prob not,no,"male 5.0 mm, female 5.2-6.2mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Dodonia sp.,,na,middle,
HETEROPTERA,Lygaeidae,,,Nysius delectulus,Nysius,delectulus,"Perkins, 1912",end,prob not,poss,prob not,prob not,prob not,no,no,"male 5.61mm, female 6.44 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Dubautia scabra, Dubautia sp.",,na,middle,
HETEROPTERA,Lygaeidae,,,Nysius delectus,Nysius,delectus,"White, 1878",end,poss,poss,poss,poss,poss,poss,poss,"small male 5.61mm, large female 6.66mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Dubautia sp., Coprosma sp., Metrosideros polymorpha, Stachytarpheta sp., Phyllostegia sp., Pelea sp., Myrsine sp., Verbena bonariensis",,na,"ground, middle? ","""not arboreal"""
HETEROPTERA,Lygaeidae,,,Nysius longicollis,Nysius,longicollis,"Blackburn, 1888",end,poss,poss,poss,poss,Koh,poss,KoK,"male 3.22-4.16mm, female 4.05-4.72mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Eragrostis sp.,,na,lower,
HETEROPTERA,Lygaeidae,,,Nysius lichenicola,Nysius,lichenicola,"Kirkaldy, 1910",end,prob not,poss,prob not,prob not,prob not,prob not,no,"male 3.75mm, female 4.70mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Eragrostis sp., Vaccinium sp., Sophora sp., Syphelia sp., Geranium sp., Dubautia sp.",,na,lower,
HETEROPTERA,Lygaeidae,,,Nysius dallasi,Nysius,dallasi,"White, 1878",end,poss,poss,poss,poss,Koh,no,prob not,"male 4.41 mm, female 5.44mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Portulaca sp.,,na,lower,
HETEROPTERA,Lygaeidae,,,Nysius terrestris,Nysius,terrestris,"Usinger, 1942",end,poss,poss,poss,poss,poss,poss,KoK,"male 3.55mm, female 4mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Portulaca sp., Argyroxiphium sp., Dubautia sp., Geranium sp., Leptecophylla sp., Wikstroemia sp., Hibiscus sp., Sophora sp., Sida sp.",,na,lower,
HETEROPTERA,Lygaeidae,,,Nysius kinbergi,Nysius,kinbergi,"Stal, 1859 coenosulus transferred to kinbergi",end,poss,poss,poss,poss,poss,poss,poss,"male 4.27 mm, female 5-5.72mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Leptecophylla sp., Sadleria sp., Erigeron sp., Heterotheca sp., Euphorbia sp., Dubautia sp., Erythrina sp., Myrsine sp., Clermontia sp., Argyroxiphium grayanum, Metrosideros polymorpha, Sophora sp., Scaevola sp., Pelea sp., Eragrostis leptophylla, Amaranthus sp., Myoporum sp., Acacia koa, Lythrum sp., Geranium sp., Dodonaea sp.", and other grasses,na,middle,
HETEROPTERA,Lygaeidae,,,Nysius rubescens,Nysius,rubescens,"White, 1881",end,prob not,poss,prob not,prob not,prob not,no,no,"male 4-4.33mm, female 4.38-5.55mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Vaccinium sp.,,na,"middle, canopy",on leaves or stems
HETEROPTERA,Lygaeidae,,,Nysius abnormis,Nysius,abnormis,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius chenopodii,Nysius,chenopodii,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius frigatensis,Nysius,frigatensis,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius fucatus,Nysius,fucatus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius fullawayi,Nysius,fullawayi,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius fullawayi flavus,Nysius,fullawayi flavus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius fullawayi infuscatus,Nysius,fullawayi infuscatus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius hardyi,Nysius,hardyi,"Ashlock, 1966",end,no,no,no,no,no,no,KoK,"male 3.5 mm, female 3.7-3.9mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius neckerensis,Nysius,neckerensis,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius nihoae,Nysius,nihoae,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius suffusus,Nysius,suffusus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Nysius mixtus,Nysius,mixtus,"Usinger, 1942",end,no,no,no,no,no,no,KoK,female 5.33-6.05mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Leptecophylla sp.,,na,middle,
HETEROPTERA,Lygaeidae,,,Nysius coenosulus,Nysius,coenosulus,"Usinger, 1942, 1959 name changed",end,poss,poss,poss,poss,poss,poss,poss,"male 4.55mm, female 4.94mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Leptecophylla sp., Osmanthus sp., Cheirodendron gaudichaudii, Dubautia sp., Argyroxiphium grayanum, Portulaca sp., Artemisia sp., Eragrostis sp., Sida sp.",,,middle,
HETEROPTERA,Lygaeidae,,,Oceanides montivagus,Oceanides,montivagus,"Kirkaldy, 1910",end,no,no,no,no,no,poss,no,"male 4.5mm, female 4.89mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Dodonaea sp., Metrosideros polymorpha, Sadleria sp., Dubautia sp., Pipturus sp.",,na,middle,
HETEROPTERA,Lygaeidae,,,Oceanides bryani,Oceanides,bryani,"Usinger, 1942",end,poss,Kil,poss,poss,poss,no,no,"male 4.11 mm, female 4.55 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Euphorbia sp., Psychotria hawaiiensis",,na,middle,
HETEROPTERA,Lygaeidae,,,Oceanides nimbatus,Oceanides,nimbatus,"Kirkaldy, 1910",end,poss,poss,poss,poss,poss,poss,KoK,"male 5.11 mm, female 6.11 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Gouldia sp., Broussasia sp., Coprosma sp., Vaccinium sp.",,na,,
HETEROPTERA,Lygaeidae,,,Oceanides pteridicola,Oceanides,pteridicola,"White, 1881",end,Kau,Kil,poss,poss,poss,poss,no,"male 4.05 mm, female 4.94mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Metrosideros polymorpha,,na,canopy,
HETEROPTERA,Lygaeidae,,,Oceanides vulcan,Oceanides,vulcan,"White, 1881",end,poss,Kil,poss,poss,poss,no,no,"male 4.27mm, female 5.27mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Metrosideros polymorpha, Acacia koa",,na,canopy,
HETEROPTERA,Lygaeidae,,,Oceanides nubicola,Oceanides,nubicola,"Kirkaldy, 1910",end,poss,Kil,poss,poss,poss,no,no,"male 4.4 mm, female 5 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Myoporum sandwicense,,na,middle,
HETEROPTERA,Lygaeidae,,,Oceanides arboricola,Oceanides,arboricola,"White, 1878",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides delicatus,Oceanides,delicatus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides fosbergi,Oceanides,fosbergi,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides gressitti,Oceanides,gressitti,"Ashlock, 1966",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides incognitus,Oceanides,incognitus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides membranaceus,Oceanides,membranaceus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides oribasus,Oceanides,oribasus,"Kirkaldy, 1910",end,no,no,no,no,no,no,no,not stated,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides perkinsi,Oceanides,perkinsi,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides picturatus,Oceanides,picturatus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides sinuatus,Oceanides,sinuatus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides usingeri,Oceanides,usingeri,"Zimmerman, 1951",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides yoshimotoi,Oceanides,yoshimotoi,"Ashlock, 1966",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,
HETEROPTERA,Lygaeidae,,,Oceanides bimaculatus,Oceanides,bimaculatus,"Usinger, 1942",end,no,no,no,no,no,prob not,no,"male 4.27mm, female 4.72mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Alyxia sp.,,na,middle,
HETEROPTERA,Lygaeidae,,,Oceanides planicollis,Oceanides,planicollis,"Usinger, 1942",end,no,no,no,no,no,no,KoK,"male 4.22 mm, female 4.66 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Euphorbia sp.,,na,middle,
HETEROPTERA,Lygaeidae,,,Oceanides euphorbiae,Oceanides,euphorbiae,"Ashlock, 1966",end,no,no,no,no,no,prob not,no,"male 4.4mm, female 4.5-4.7mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Euphorbia lorifolia gracilis,Euphorbia (probably lorifolia var. gracilis),na,middle,
HETEROPTERA,Lygaeidae,,,Oceanides myopori,Oceanides,myopori,"Usinger, 1942",end,no,no,no,no,no,no,KoK,"male 3.94 mm, female 4.55mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Myoporum sp.,,na,middle,
HETEROPTERA,Lygaeidae,,,Oceanides rugosiceps,Oceanides,rugosiceps,"Usinger, 1942",end,no,no,no,no,no,no,KoK,"male 4mm, female 4.88mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Pterotropia sp.,,na,middle,
HETEROPTERA,Lygaeidae,,,Oceanides dilatipennis,Oceanides,dilatipennis,"Usinger, 1942",end,no,no,no,no,no,prob not,no,female 5.72-6.27mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Lygaeidae,,,Oceanides humeralis,Oceanides,humeralis,"Ashlock, 1966",end,no,no,no,no,no,no,prob not,male 5.4 mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Lygaeidae,,,Oceanides oresitrophus,Oceanides,oresitrophus,"Kirkaldy, 1910",end,no,no,no,no,no,poss,no,male 4.61mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Lygaeidae,,,Oceanides ventralis,Oceanides,ventralis,"Usinger, 1942",end,no,no,no,no,no,no,KoK,female 4.86-5.13 mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Wikstroemia sp.,,na,middle,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus kalaupapae,Oliarus,kalaupapae,"Hoch & Howarth, 1999",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus inaequalis koebelei,Oliarus,inaequalis koebelei,"Metcalf, 1936",end,no,no,no,no,no,no,no,male 8mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,well-vegetated forests,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus inaequalis konana,Oliarus,inaequalis konana,"Metcalf, 1936",end,no,no,no,no,no,no,no,male 7.5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,well-vegetated forests,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus opuna,Oliarus,opuna,"Kirkaldy, 1909",end,poss,Kil,poss,poss,poss,no,no,"male 5-6mm, female 6.25mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Astelia sp., Coprosma sp., Dubautia sp., Nephrolepis exaltata",,na,"lower, middle",on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus kaonohi,Oliarus,kaonohi,"Kirkaldy, 1909",end,no,no,no,no,no,no,no,"males 5-6mm, females 6.5-6.75mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Broussasia sp., Cibotium sp.","Broussasia sp., rotting Cibotium sp. fronds",na,middle,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus filicicola,Oliarus,filicicola,"Kirkaldy, 1909",end,poss,poss,poss,poss,poss,poss,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Cibotium sp.,,na,"middle, canopy",on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus koanoa,Oliarus,koanoa,"Kirkaldy, 1902",end,prob not,prob not,prob not,prob not,prob not,no,no,"males 6-7mm, females 7-8mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Maba sandwicensis, Cibotium sp.",,na,middle,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus kanakanus,Oliarus,kanakanus,"Kirkaldy, 1902",end,poss,Kil,Ola,poss,prob not,no,no,"males 8-8.75mm, females 10mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Metrosideros polymorpha,,na,canopy,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus kanakanus punaensis,Oliarus,kanakanus punaensis,"Metcalf, 1936",end,prob not,prob not,prob not,prob not,prob not,no,no,males 7mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Metrosideros polymorpha,,na,canopy,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus pele,Oliarus,pele,"Kirkaldy, 1909",end,poss,poss,poss,poss,poss,poss,KoK,"male 6.5-7.5, female 7-9mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Metrosideros polymorpha ,"nymphs in rotting Metrosideros polymorpha wood, nymphs found in soil about fern roots, ferns and mosses",na,lower,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus inconstans,Oliarus,inconstans,"Giffard, 1925",end,poss,Kil,Ola,poss,prob not,no,no,"males 6-6.5mm, females 7-7.5mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,scrubby vegetation of ancient lava flows,na,lower,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus hevaheva,Oliarus,hevaheva,"Kirkaldy, 1902",end,prob not,prob not,prob not,prob not,prob not,no,no,"male 8-9.25mm, female 10-11mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus nemoricola,Oliarus,nemoricola,"Kirkaldy, 1909",end,prob not,prob not,prob not,prob not,prob not,no,no,male 8.25mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus neomorai oahuana,Oliarus,neomorai oahuana,"Metcalf, 1936",end,prob not,poss,poss,prob not,poss,no,no,female 8-9mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus niger,Oliarus,niger,"Giffard, 1925",end,prob not,prob not,prob not,prob not,prob not,no,no,"male 6.5-7mm, female 7.5-7.75",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus tarai,Oliarus,tarai,"Kirkaldy, 1902",end,poss,Kil,Ola,poss,Koh,no,no,"male 6.5-7.25mm, female 7.5-8mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus tarai alpha,Oliarus,tarai alpha,"Giffard, 1925",end,poss,Kil,poss,poss,Koh,no,no,"male 6.5-7.25, female 7.5-8mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus tarai kohalana,Oliarus,tarai kohalana,"Metcalf, 1936",end,poss,Kil,poss,poss,Koh,no,no,"male 6.5-7.25, female 7.5-8mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus inaequalis,Oliarus,inaequalis,"Giffard, 1925",end,Kau,Kil,Ola,poss,Koh,no,no,"male 6.35-7mm, female7.75mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,well-vegetated forests,na,unknown,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus inaequalis kohala,Oliarus,inaequalis kohala,"Metcalf, 1936",end,no,no,no,no,Koh,no,no,Male 7mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,well-vegetated forests,na,unknown,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus makaiki,Oliarus,makaiki,,end,no,no,no,no,no,no,no,?,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Metrosideros polymorpha,Meterodideros roots: troglomorphic,na,in caves - plant roots,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus polyphemus,Oliarus,polyphemus,"Fennah, 1973",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Metrosideros polymorpha,Meterosideros roots: troglomorphic,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus gagnei,Oliarus,gagnei,"Hoch & Howarth, 1999",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Dodonaea viscosa,roots of Dodonaea viscosa; troglomorph,na,in caves - plant roots,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus lorettae,Oliarus,lorettae,Hoch and Howarth 1999,end,no,no,no,no,no,no,no,"males 4.1-4.9mm, females 5.2-5.6mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Sida fallax,Sida fallax roots: troglomorphic,na,in caves - plant roots,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus priola,Oliarus,priola,"Fennah, 1973",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,troglomorphic,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus acaciae,Oliarus,acaciae,"Kirkaldy, 1909",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus albatus,Oliarus,albatus,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus discrepans,Oliarus,discrepans,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus instabilis,Oliarus,instabilis,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus instabilis bryani,Oliarus,instabilis bryani,"Metcalf, 1936",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus instabilis crawi,Oliarus,instabilis crawi,"Metcalf, 1936",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus instabilis ehrhomi,Oliarus,instabilis ehrhomi,"Metcalf, 1936",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus instabilis osborni,Oliarus,instabilis osborni,"Metcalf, 1936",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus instabilis terryi,Oliarus,instabilis terryi,"Metcalf, 1936",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus instabilis williamsi,Oliarus,instabilis williamsi,"Metcalf, 1936",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus kaiulani,Oliarus,kaiulani,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus kaohinani,Oliarus,kaohinani,"Kirkaldy, 1909",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus kaohinani perkinsi,Oliarus,kaohinani perkinsi,"Metcalf, 1936",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus kaumuahona,Oliarus,kaumuahona,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus kirkaldyi,Oliarus,kirkaldyi,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus koele,Oliarus,koele,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus likelike,Oliarus,likelike,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus makaala,Oliarus,makaala,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus morai,Oliarus,morai,"Kirkaldy, 1902",end,no,no,no,no,no,no,no,"male 7.25-7.75mm, female 8.5-9mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
HOMOPTERA,Cixiidae,,,Oliarus myoporicola,Oliarus,myoporicola,"Giffard, 1925",end,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems
