Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)"
HETEROPTERA,Lygaeidae,,,Neacoryphus bicrucis,Neacoryphus,bicrucis,"Say, 1825",adv,prob not,prob not,prob not,prob not,prob not,prob not,no,7-9.5mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Pentatomidae,,,Nezara viridula,Nezara,viridula,"Linnaeus, 1758",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,herbivorous,n.d.,"widespread, pest of crop plants, particularly likes legumes",na,"lower, middle",on leaves or stems
HETEROPTERA,Lygaeidae,,,Nysius caledoniae,Nysius,caledoniae,"Distant, 1920",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HETEROPTERA,Lygaeidae,,,Nysius sp. nr. vinitor,Nysius,sp. nr. vinitor,Bergroth,adv,prob not,prob not,prob not,prob not,prob not,no,prob not,"male 3.5-4mm, female 5.5-6mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown
HOMOPTERA,Delphacidae,,,Opiconsiva paludum,Opiconsiva,paludum,"Kirkaldy, 1910",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,"grasses, sedges",na,lower,on leaves or stems
HOMOPTERA,Delphacidae,,,Peregrinus maidis,Peregrinus,maidis,"Ashmead, 1890",adv,prob not,prob not,prob not,prob not,prob not,prob not,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Zea mays, Sorghum halepense, Saccharum officinarum","corn, soemtimes also: sorghum, sugarcane",na,middle,on leaves or stems
HETEROPTERA,Lygaeidae,,,Peritrechus saskatchewanensis,Peritrechus,saskatchewanensis,"Barber, 1918",adv,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding, a couple known predators (such as the wekiu bug, which is from Hawaii and not in our sites)",n.d.,,na,,
HOMOPTERA,Delphacidae,,,Perkinsiella saccharicida,Perkinsiella,saccharicida,"Kirkaldy, 1903",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Saccharum officinarum,"sugarcane, reprted breeding in 7 grasses and 3 sedges also",na,middle,on leaves or stems
HOMOPTERA,Cercopidae,,,Philaenus spumarius,Philaenus,spumarius,"Linnaeus, 1758",adv,poss,poss,poss,poss,poss,no,no,about 6mm,herbivore,herbivorous,"Anagallis arvensis, Artemisia vulgaris, Bidens pilosa minor, Brassica oleracea botrytis, Centaurium umbellatum, Chrysanthemum maximum, Coix lacryma-jobi, Commelina diffusa, Coprosma ernodioides typica, Coprosma rhynchocarpa, Cordyline terminalis, Cynodon dactylon, Cyperus bervifolius, Dactylis glomerata, Dahlia sp., Daucus carota sativa, Dianthus chinensis, Digitaria pruriens, Erigeron albidus, Fuchsia magellanica, Geranium carolinianum australe, Gnaphalium purpureum, Hebe salicifolia, Hibiscus tiliaceus, Holcus lanatus, Hypericum moserianum, Hypochaeris radicata, Ilex anomala, Ipomoea batatas, Lactuca sativa, Lythrum maritimum, Medicago hispida, Mentha sp., Mesembryanthemum sp., Metrosideros sp., Modiola carolina, Myosotis azorica, Oenothera striata, Panicum purpurascens,  Pastinaca sativa, Physalis peruviana, Plantago lanceolata, Pluchea odorata, Dubautia scabra, Raphanus sativus longipinnatus, Rheum rhaponticum, Rubus penetrans, Rumex acetosella, Sacciolepis contracta, Senecio mikanioides, Solidago altissima, Sonchus oleraceus, Stachytarpheta sp., Tibouchina semidecandra, Trifolium procumbens, Tritonia crocosmaeflora, Verbena litoralis, Veronica plebia, Vinca sp., Wikstroemia phillyreaefolia","Anagallis arvensis, Artemisia vulgaris, Bidens pilosa minor, Brassica oleracea botrytis, celery, Centaurium umbellatum, Chrysanthemum maximum, Coix lacryma-jobi, Commelina diffusa, Coprosma sp. ernodioides typica, Coprosma sp. rhynchocarpa, Cordyline terminalis, Cynodon dactylon, Cyperus bervifolius, Dactylis glomerata, Dahlia, Daucus carota sativa, Dianthus chinensis, Digitaria pruriens, Erigeron albidus, Fuchsia magellanica, Geranium carolinianum australe, Gnaphalium purpureum, Hebe salicifolia, Hibiscus tiliaceus, Holcus lanatus, Hypericum moserianum, Hypochaeris radicata, Ilex anomala, Ipomoeae batatas, Lactuca sativa, Lythrum maritimum, Medicago hispida, Mentha, Mesembryanthemum, Metrosideros polymorpha collina polymorpha, Modiola carolina, Myosotis azorica, Oenothera striata, Panicum purpurascens, parsley, Pastinaca sativa, Physalis peruviana, Plantago lanceolata, Pluchea odorata, Dubautia sp. scabra, Raphanus sativus longipinnatus (daikon radish), Rheum rhaponticum, Rubus sp. penetrans, Rumex acetosella, Sacciolepis contracta, satsuma orange, Senecio mikanioides, Solidago altissima, Sonchus oleraceus, Stachytarpheta, strawberry, Tibouchina semidecandra, Trifolium procumbens, Tritonia crocosmaeflora, Verbena litoralis, Veronica plebia, Vinca, Wikstroemia phillyreaefolia",na,"lower, middle, canopy",on leaves or stems
HETEROPTERA,Lygaeidae,,,Pseudopachybrachius vinctus,Pseudopachybrachius,vinctus,"Say, 1831",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,"family is mostly seed feeding, some sap feeding, a couple known predators (such as the wekiu bug, which is from Hawaii and not in our sites)",n.d.,,na,unknown,unknown
