Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)",6,order,notes,Ka,Oa,Mo,Ln,Kh,Ma,Ha,key?,Ku,Mi,Pe,Li,Ly,Ga,Fr,Ne,Na,Nu,Gu,Tu,Ta,Of,Ol,subfamily,tribe
HETEROPTERA,Lygaeidae,,,Ligyrocoris litigiosus,Ligyrocoris,litigiosus,"Still, 1862",adv,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,4975,4697,,,Oa,,,,,,,,,,,,,,,,,,,,,,,
HETEROPTERA,Rhopalidae,,,Liorhyssus hyalinus,Liorhyssus,hyalinus,"Fabricius, 1794",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,?,herbivore,herbivorous,"Sida cordifolia, Sonchus oleraceus, Euphorbia cordata",,na,middle,,5413,5105,,Ka,Oa,Mo,Ln,,Ma,Ha,Kirkaldy 1910,,Mi,,,,,,,Na,,,,,,,,
HETEROPTERA,Miridae,,,Lygus elisus,Lygus,elisus,"Van Duzee, 1914",adv,no,no,no,no,no,no,no,,herbivore,family is mostly herbivorous,n.d.,,na,,,5135,4844,,,Oa,,,,,,"Van Duzee, 1914",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Megamelus davisi,Megamelus,davisi,"Van Duzee, 1897",adv,no,no,no,no,no,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,,on leaves or stems,5813,5481,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Flatidae,,,Melormenis basalis,Melormenis,basalis,"Walker, 1851",adv,poss,poss,poss,poss,poss,poss,poss,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Flueggea neowawraea, Scaveola taccada,Nicotiana tabacum ",probably many others,na,middle,on leaves or stems,6035,5681,,Ka,Oa,Mo,,,Ma,Ha,"(Walker, 1851)",,,,,,,,,,,,,,,,,
HETEROPTERA,Cydnidae,,,Microporus shiromai,Microporus,shiromai,"Froeschner, 1976",adv,no,no,no,no,no,no,no,,herbivore,herbivore?,n.d.,tend to be crop pests,na,unknown,unknown,4956,4678,,,Oa,,,,,,Froeschner 1976,,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Neacoryphus bicrucis,Neacoryphus,bicrucis,"Say, 1825",adv,prob not,prob not,prob not,prob not,prob not,prob not,no,7-9.5mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown,4982,4704,,,Oa,Mo,Ln,,Ma,Ha,guess,,,,,,,,,,,,,,,,,
HETEROPTERA,Pentatomidae,,,Nezara viridula,Nezara,viridula,"Linnaeus, 1758",adv,prob not,prob not,prob not,prob not,prob not,prob not,prob not,,herbivore,herbivorous,n.d.,"widespread, pest of crop plants, particularly likes legumes",na,"lower, middle",on leaves or stems,5358,5052,,Ka,Oa,Mo,Ln,,Ma,Ha,,,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius caledoniae,Nysius,caledoniae,"Distant, 1920",adv,prob not,prob not,prob not,prob not,prob not,no,prob not,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown,5037,4756,,Ka,Oa,,Ln,,,Ha,Ashlock 1966,,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius sp. nr. vinitor,Nysius,sp. nr. vinitor,Bergroth,adv,prob not,prob not,prob not,prob not,prob not,no,prob not,"male 3.5-4mm, female 5.5-6mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,unknown,unknown,5063,4781,,Ka,Oa,,,,,Ha,,,,,,,,,,,,,,,,,,
