Order,Family,subfamily,Tribe,Genus and species,Genus,Species,Author,Status ,Kau ,Kil,Ola,Lau,Koh,Hal,KoK,Adult Body Size,Trophic Information Simplified,Trophic Information,Host identity (Genus species),Other host information ,Intermediary (eg fungus)if relevant,"Height (Ground, middle or canopy)","Microhabitat (under bark, under leaves, in leaf axils, etc)",6,order,notes,Ka,Oa,Mo,Ln,Kh,Ma,Ha,key?,Ku,Mi,Pe,Li,Ly,Ga,Fr,Ne,Na,Nu,Gu,Tu,Ta,Of,Ol,subfamily,tribe
HOMOPTERA,Delphacidae,,,Nesosydne haleakala,Nesosydne,haleakala,"Kirkaldy, 1910",end,no,no,no,no,no,poss,no,3.875mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems,5848,5510,,,,,,,Ma,,"N. haleakala Kirkaldy, 1910: 587. Muir 1916: 197",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne perkinsi,Nesosydne,perkinsi,"Muir, 1916",end,no,no,no,no,no,poss,no,male 2.6mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems,5889,5546,,,,,,,Ma,,"N. perkinsi Muir, 1916: 190, pl. 3, fig. 42, pl. 4 fig 73",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne bridwelli,Nesosydne,bridwelli,"Muir, 1919",end,no,no,no,no,no,prob not,no,"male 2mm, female 2.4mm ",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Argyroxiphium, Dubautia sp.",,na,"lower, middle",on leaves or stems,5828,5494,,,,,,,Ma,,"Ilburnia bridwelli Muir 1919: 90, pl.3, 4, fig 20",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne imbricola,Nesosydne,imbricola,"Kirkaldy, 1910",end,no,no,no,no,no,prob not,no,male 3mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Coprosma montana,,na,middle,on leaves or stems,5852,5514,,,,,,,Ma,,N. imbricola Kirkaldy 1910: 590,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne monticola,Nesosydne,monticola,"Kirkaldy, 1910",end,no,no,no,no,no,prob not,no,female 3mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Coprosma montana,,na,middle,on leaves or stems,5868,5528,,,,,,,Ma,,"Kirkaldy 1910: 591, Muir, 1916: 197",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne osborni,Nesosydne,osborni,"Muir, 1916",end,no,no,no,no,no,prob not,no,male 1.5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Dubautia sp.,,na,middle,on leaves or stems,5885,5543,,,,,,,Ma,,"N. osborni Muir, 1916: 192, pl. 3",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne raillardiicola,Nesosydne,raillardiicola,"Muir, 1919",end,no,no,no,no,no,prob not,no,"male 2.4mm, female 2.7mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Dubautia menziesii,,na,middle,on leaves or stems,5896,5553,"in ITIS, misspelled",,,,,,Ma,,"Ilburnia raillardicola Muir, 1919: 102, pl. 4, fig. 14: 1921: 512, pl. 8, fig 5",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne geranii,Nesosydne,geranii,"Muir, 1921",end,no,no,no,no,no,prob not,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Geranium arboreum,,na,middle,on leaves or stems,5843,5505,,,,,,,Ma,,"Ilburnia geranii Muir, 1921: 515, pl 8 figs 13, 13a",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne stenogynicola,Nesosydne,stenogynicola,"Muir, 1919",end,no,no,no,no,no,prob not,no,"male 2.5mm, female 3.5mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Stenogyne sp.,,na,middle,on leaves or stems,5905,5559,,,,,,,Ma,,"Ilburnia stenogynicola Muir, 1919: 94, pl. 3, fig. 5, pl. 4, fig 22",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne nigrinervis,Nesosydne,nigrinervis,"Muir, 1919",end,no,no,no,no,no,prob not,no,"male 1.5mm, female 1.9mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Leptecophylla sp.,,na,middle,on leaves or stems,5881,5539,,,,,,,Ma,,"Ilburnia cyathodis var nigrinervis Muir, 1919: 92",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesosydne tetramolopii,Nesosydne,tetramolopii,"Muir, 1919",end,no,no,no,no,no,prob not,no,"male 16.mm, female 2mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Tetramolopium sp.,,na,lower,on leaves or stems,5908,5562,"in ITIS, misspelled",,,,,,Ma,,"N. swezeyi Muir, 1919; 88, pl. 3, fig 7; pl. 4, fig 19",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe dryope,Nesothoe,dryope,"Kirkaldy, 1910",end,poss,poss,poss,poss,poss,no,poss,female 3.875mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Antidesma sp.,,na,middle,on leaves or stems,5920,5571,,Ka,Oa,,,,,Ha,"Nesodryas dryope Kirkaldy, 1910: 597",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe haa,Nesothoe,haa,"Muir, 1921",end,poss,poss,Ola,poss,poss,no,no,,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Antidesma sp.,,na,middle,on leaves or stems,5928,5578,,,,,,,,Ha,"Nesodryas (Nesothoe) haa Muir, 1921: 509, pl. 8, fig. 1",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe gulicki,Nesothoe,gulicki,"Muir, 1916",end,poss,prob not,prob not,prob not,prob not,no,no,male 2.6mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Chamaesyce sp., Metrosideros polymorpha, Nestegis sp.",,na,"middle, canopy",on leaves or stems,5927,5577,,,Oa,,Ln,,,Ha,"Nesodryas (Nesothoe) gulicki Muir, 1916: 177, pl. 2, fig 3; 1917: 301; 1919: 87-88",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe maculata,Nesothoe,maculata,"Muir, 1916",end,prob not,prob not,prob not,prob not,prob not,no,no,"male 2.2mm, female 2.7mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Diospyros sp., Metrosideros polymorpha, Nestegis sp.",,na,"middle, canopy",on leaves or stems,5932,5581,,,Oa,,Ln,,,Ha,"Nesodryas (Nesothoe) maculata Muir, 1916: 177, pl. 2, fig. 15; 1917: 302",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe munroi,Nesothoe,munroi,"Muir, 1917",end,prob not,prob not,prob not,prob not,prob not,no,no,"male 2.5mm, female 3.7mm ",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Dodonaea sp.,,na,middle,on leaves or stems,5935,5583,,,,,Ln,,,Ha,"Nesodryas (Nesothoe) munroi Muir, 1917: 303, pl. 5, fig. 6; 1919:87",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe frigidula,Nesothoe,frigidula,"Kirkaldy, 1908",end,prob not,prob not,prob not,prob not,prob not,no,no,female 4.5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems,5925,5575,,,,,,,,Ha,"Nesothoe frigidula Kirkaldy, 1908: 204; 1910: 593",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe antidesmae,Nesothoe,antidesmae,"Muir, 1917",end,no,no,no,no,no,no,no,male 2.2mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Antidesma sp.,,na,middle,on leaves or stems,5917,5568,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe bobeae,Nesothoe,bobeae,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,4mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Bobea sp.,,na,middle,on leaves or stems,5918,5569,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe perkinsi,Nesothoe,perkinsi,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,female 4.875-5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Clermontia sp., Metrosideros polymorpha, Myrsine sp.",,na,middle,on leaves or stems,5936,5584,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe elaeocarpi,Nesothoe,elaeocarpi,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,female 4.5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Cyrtandra sp., Elaeocarpus sp., Scaevola sp.",,na,middle,on leaves or stems,5922,5572,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe giffardi,Nesothoe,giffardi,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,"male, female 4-4.25mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Cyrtandra sp., Touchardia sp.",,na,middle,on leaves or stems,5926,5576,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe terryi,Nesothoe,terryi,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,4.25mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Nestegis sp.,,na,lower,on leaves or stems,5942,5590,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe eugeniae,Nesothoe,eugeniae,"Kirkaldy, 1908",end,no,no,no,no,no,no,no,"male 4mm, female 4.5mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Syzygium sp., Psychotria sp.",,na,middle,on leaves or stems,5923,5573,,,Oa,,Ln,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe dodonaeae,Nesothoe,dodonaeae,"Muir, 1916",end,no,no,no,no,no,no,poss,"male 2.3mm, female 2.8mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Alphitonia sp., Dodonaea sp., Myrsine sp.",,na,middle,on leaves or stems,5919,5570,,Ka,,,,,,,"Nesodryas dodonaeae Muir, 1916: 176, pl. 2, fig. 10; 1922: 95",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe pluvialis,Nesothoe,pluvialis,"Kirkaldy, 1908",end,no,no,no,no,no,no,poss,male 2.2mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Antidesma sp.,,na,middle,on leaves or stems,5938,5586,,Ka,,,,,,,"Nesothoe pluvialis Kirkaldy, 1908: 204; 1910: 595",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe fletus,Nesothoe,fletus,"Kirkaldy, 1908",end,no,no,no,no,no,poss,poss,"male 4.5mm, female 4.875mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Antidesma sp., Myrsine sp.",,na,middle,on leaves or stems,5924,5574,,Ka,,,Ln,,Ma,,"Nesothoe fletus Kirkaldy, 1908: 204; 1910: 592",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe seminigrofrons,Nesothoe,seminigrofrons,"Muir, 1922",end,no,no,no,no,no,no,poss,"male 2.6mm, female 3.3mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Bidens sp.,,na,middle,on leaves or stems,5940,5588,,Ka,,,,,,,"Nesodryas (Nesothoe) seminigrofrons Muir, 1922: 94, pl. 3, fig. 5",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe magnacornis,Nesothoe,magnacornis,"Beardsley, 1960",end,no,no,no,no,no,no,prob not,"male 3.4mm, female about 4.0mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Claoxylon sandwicense,,na,middle,on leaves or stems,5934,5582,,Ka,,,,,,,,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe piilani,Nesothoe,piilani,"Kirkaldy, 1908",end,no,no,no,no,no,no,prob not,male 3mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Nestegis sp.,,na,lower,on leaves or stems,5937,5585,,Ka,,Mo,Ln,,,,"Nesothoe piilani Kirkaldy, 1908: 204; 1910: 594",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe semialba,Nesothoe,semialba,"Muir, 1922",end,no,no,no,no,no,no,prob not,"male 2.6mm, female ",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Nestegis sp.,,na,middle,on leaves or stems,5939,5587,,Ka,,,,,,,"Nesodryas (Nesothoe) semialba Muir, 1922: 95, pl. 3, fig. 8",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe hula,Nesothoe,hula,"Kirkaldy, 1908",end,no,no,no,no,no,no,prob not,"male 4.75mm, female 5.25mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links","Nestegis sp., Melicope sp., Phyllostegia sp., Pouteria sp., Myrsine sp.",,na,"lower, middle",on leaves or stems,5930,5579,,Ka,,,,,,,"Nesothoe hula Kirkaldy, 1908: 204; 1910: 592",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe laka,Nesothoe,laka,"Kirkaldy, 1908",end,no,no,no,no,no,prob not,no,5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Sida sp.,,na,middle,on leaves or stems,5931,5580,,,,,,,Ma,,"Nesothoe laka Kirkaldy, 1908: 204; 1910: 594",,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nesothoe silvestris,Nesothoe,silvestris,"Kirkaldy, 1908",end,no,no,no,no,no,Hal,no,4.875-5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.d.,,na,unknown,on leaves or stems,5941,5589,,,,,Ln,,Ma,,,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nothorestias swezeyi,Nothorestias,swezeyi,"Muir, 1922",end,no,no,no,no,no,no,no,"male 2.4mm, female 2.6mm",herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",Aspidium sp.,Aspidium ferns,na,lower,on leaves or stems,5944,5592,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HOMOPTERA,Delphacidae,,,Nothorestias badia,Nothorestias,badia,"Muir, 1917",end,no,no,no,no,no,no,no,male 2.5mm,herbivore,"herbivorous: see ""trophicInformation_Homoptera"" tab for other trophic links",n.n,ferns,na,lower,on leaves or stems,5943,5591,,,Oa,,,,,,na,,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius sublittoralis,Nysius,sublittoralis,"Perkins, 1912",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Nicotiana tabacum,,na,,,5060,4778,,,Oa,,,,Ma,Ha,"Usinger, 1942",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius wekiuicola,Nysius,wekiuicola,"Ashlock & Gagne, 1983",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5064,4782,,,,,,,,Ha,"Ashlock & Gagne, 1983",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius blackburni,Nysius,blackburni,"White, 1881",end,prob not,poss,prob not,poss,prob not,poss,no,female 3.61mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Acacia koa, Dubautia sp.",,na,"middle, canopy",,5036,4755,,,,,,,Ma,Ha,"Usinger, 1942",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius communis,Nysius,communis,"Usinger, 1942",end,poss,Kil,poss,poss,Koh,poss,KoK,"male 5.61 mm, female 5.94mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Bidens sp., Argyroxiphium grayanum, Metrosideros polymorpha, Leptecophylla sp., Coprosma sp., Euphorbia sp., Lobelia gloria-montis, Scaevola sp., Cibotium menziesii, Cheirodendron sp., Argyroxiphium virescens, Sadleria sp., Artemisia sp., Sophora sp.",,na,"lower, middle",,5040,4759,,Ka,Oa,Mo,Ln,,Ma,Ha,"Usinger, 1942",,,,,,,,,,Nu,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius nemorivagus,Nysius,nemorivagus,"White, 1881",end,poss,Kil,poss,poss,Koh,poss,KoK,"smallest male 3.88mm, largest female 5.33 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Clermontia sp., Lythrum sp., Sophora sp., Dubautia sp., Geranium sp.",,na,middle,,5056,4774,,Ka,,Mo,Ln,,Ma,Ha,"Usinger, 1942",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius beardsleyi,Nysius,beardsleyi,"Ashlock, 1966",end,prob not,prob not,prob not,prob not,prob not,prob not,no,"male 5.0 mm, female 5.2-6.2mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Dodonia sp.,,na,middle,,5035,4754,,,,,,,Ma,Ha,"Ashlock, 1966",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius delectulus,Nysius,delectulus,"Perkins, 1912",end,prob not,poss,prob not,prob not,prob not,no,no,"male 5.61mm, female 6.44 mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Dubautia scabra, Dubautia sp.",,na,middle,,5042,4761,,,Oa,,,,Ma,Ha,"Usinger, 1942",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius delectus,Nysius,delectus,"White, 1878",end,poss,poss,poss,poss,poss,poss,poss,"small male 5.61mm, large female 6.66mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Dubautia sp., Coprosma sp., Metrosideros polymorpha, Stachytarpheta sp., Phyllostegia sp., Pelea sp., Myrsine sp., Verbena bonariensis",,na,"ground, middle? ","""not arboreal""",5043,4762,"listed in Swezey & Bryan (1927) as ""Nysius sp. Kawela, host not recorded""",,Oa,Mo,Ln,,Ma,Ha,"Usinger, 1942, Kirkadly 1910",,,,,,,,Ne,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius longicollis,Nysius,longicollis,"Blackburn, 1888",end,poss,poss,poss,poss,Koh,poss,KoK,"male 3.22-4.16mm, female 4.05-4.72mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Eragrostis sp.,,na,lower,,5053,4771,,Ka,Oa,,,,Ma,Ha,"Usinger, 1942",,,,,,,,,Na,Nu,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius lichenicola,Nysius,lichenicola,"Kirkaldy, 1910",end,prob not,poss,prob not,prob not,prob not,prob not,no,"male 3.75mm, female 4.70mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Eragrostis sp., Vaccinium sp., Sophora sp., Syphelia sp., Geranium sp., Dubautia sp.",,na,lower,,5052,4770,,,,,,,Ma,Ha,"Usinger, 1942",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius dallasi,Nysius,dallasi,"White, 1878",end,poss,poss,poss,poss,Koh,no,prob not,"male 4.41 mm, female 5.44mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Portulaca sp.,,na,lower,,5041,4760,,Ka,Oa,Mo,,,,Ha,"Usinger, 1942",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius terrestris,Nysius,terrestris,"Usinger, 1942",end,poss,poss,poss,poss,poss,poss,KoK,"male 3.55mm, female 4mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Portulaca sp., Argyroxiphium sp., Dubautia sp., Geranium sp., Leptecophylla sp., Wikstroemia sp., Hibiscus sp., Sophora sp., Sida sp.",,na,lower,,5062,4780,"listed in Swezey & Bryan (1927) as ""Nysius sp. Kawela, on Lythrum""",Ka,Oa,Mo,,Kh,Ma,Ha,"Usinger, 1942",,Mi,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius kinbergi,Nysius,kinbergi,"Stal, 1859 coenosulus transferred to kinbergi",end,poss,poss,poss,poss,poss,poss,poss,"male 4.27 mm, female 5-5.72mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Leptecophylla sp., Sadleria sp., Erigeron sp., Heterotheca sp., Euphorbia sp., Dubautia sp., Erythrina sp., Myrsine sp., Clermontia sp., Argyroxiphium grayanum, Metrosideros polymorpha, Sophora sp., Scaevola sp., Pelea sp., Eragrostis leptophylla, Amaranthus sp., Myoporum sp., Acacia koa, Lythrum sp., Geranium sp., Dodonaea sp.", and other grasses,na,middle,,5039,4758,"listed in Swezey & Bryan (1927) as ""Nysius sp. Kawela, on Lythrum""",Ka,Oa,Mo,Ln,Kh,Ma,Ha,"Usinger, 1942, name transferred from N. coenosulus to N. kinbergi in Usinger 1959)",,Mi,,,,,Fr,,,Nu,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius rubescens,Nysius,rubescens,"White, 1881",end,prob not,poss,prob not,prob not,prob not,no,no,"male 4-4.33mm, female 4.38-5.55mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Vaccinium sp.,,na,"middle, canopy",on leaves or stems,5059,4777,,,,,,,Ma,Ha,"Usinger, 1942",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius abnormis,Nysius,abnormis,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5034,4753,,,,Mo,,,,,"Usinger, 1942",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius chenopodii,Nysius,chenopodii,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5038,4757,,,,,,,,,"Usinger, 1942",,,,,,,,Ne,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius frigatensis,Nysius,frigatensis,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5044,4763,,,,,,,,,"Usinger, 1942",,,,,,,Fr,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius fucatus,Nysius,fucatus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5045,4764,,Ka,Oa,,,,Ma,,"Usinger, 1942",,,,,,,,,,Nu,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius fullawayi,Nysius,fullawayi,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5046,4765,,,,,,,,,"Usinger, 1942",Ku,Mi,Pe,Li,Ly,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius fullawayi flavus,Nysius,fullawayi flavus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5047,4766,,,,,,,,,"Usinger, 1942",,,,Li,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius fullawayi infuscatus,Nysius,fullawayi infuscatus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5048,4767,,,,,,,,,"Usinger, 1942",,,Pe,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius hardyi,Nysius,hardyi,"Ashlock, 1966",end,no,no,no,no,no,no,KoK,"male 3.5 mm, female 3.7-3.9mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5049,4768,,Ka,,,,,,,"Ashlock, 1966",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius neckerensis,Nysius,neckerensis,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5055,4773,,,,,,,,,"Usinger, 1942",,,,,,,,Ne,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius nihoae,Nysius,nihoae,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5057,4775,,,,,,,,,"Usinger, 1942",,,,,,,,,Na,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius suffusus,Nysius,suffusus,"Usinger, 1942",end,no,no,no,no,no,no,no,,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",n.d.,,na,,,5061,4779,,,,,,,,,"Usinger, 1942",,,,,,,,,Na,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius mixtus,Nysius,mixtus,"Usinger, 1942",end,no,no,no,no,no,no,KoK,female 5.33-6.05mm,herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab",Leptecophylla sp.,,na,middle,,5054,4772,,Ka,,,,,,,"Usinger, 1942",,,,,,,,,,,,,,,,,
HETEROPTERA,Lygaeidae,,,Nysius coenosulus,Nysius,coenosulus,"Usinger, 1942, 1959 name changed",end,poss,poss,poss,poss,poss,poss,poss,"male 4.55mm, female 4.94mm",herbivore,"family is mostly seed feeding, some sap feeding: see ""trophicInformation_Hemiptera"" tab","Leptecophylla sp., Osmanthus sp., Cheirodendron gaudichaudii, Dubautia sp., Argyroxiphium grayanum, Portulaca sp., Artemisia sp., Eragrostis sp., Sida sp.",,,middle,,,,,,,,,,,,"Usinger, 1942, 1959 name change",,,,,,,,,,,,,,,,,
